rxdataRD3,,rxcksbRD,,rxcksb,,rxdatasb,,rxdatasbRD,
,rxvld,,rxvldRD,,rxckRD,,rxdata23,,rxckp
rxdata63,,rxdata39,,rxdata33,,rxdata29,,rxdata22,
,rxtrk,,rxdata34,,rxdata30,,rxckn,,rxdataRD0
rxdata62,,rxdata38,,rxdata32,,rxdata28,,rxdata21,
,rxdata40,,rxdata35,,rxdata31,,rxdata24,,rxdata0
rxdata61,,rxdata37,,rxdataRD2,,rxdata27,,rxdata20,
,rxdata41,,rxdata36,,rxdataRD1,,rxdata25,,rxdata1
rxdata60,,vss,,vss,,rxdata26,,rxdata19,
,rxdata42,,vss,,vss,,vss,,rxdata2
rxdata59,,vss,,vss,,vss,,rxdata18,
,rxdata43,,vss,,vss,,vss,,rxdata3
rxdata58,,vss,,vss,,vss,,rxdata17,
,rxdata44,,vss,,vss,,vss,,rxdata4
rxdata57,,vss,,vss,,vss,,rxdata16,
,rxdata45,,vss,,vss,,vss,,rxdata5
rxdata56,,vss,,vss,,vss,,rxdata15,
,rxdata46,,vss,,vss,,vss,,rxdata6
rxdata55,,vss,,vss,,vss,,rxdata14,
,rxdata47,,vss,,vss,,txdata47,,rxdata7
rxdata54,,txdataRD2,,txdata37,,txdata43,,rxdata13,
,rxdata48,,txdata36,,txdata42,,txdata48,,rxdata8
rxdata53,,txdata32,,txdata38,,txdata44,,rxdata12,
,rxdata49,,txdata35,,txdata41,,txdata49,,rxdata9
rxdata52,,txdata33,,txdata39,,txdata45,,rxdata11,
,rxdata50,,txdata34,,txdata40,,txdata50,,txdata53
rxdata51,,vccfwdio,,vccfwdio,,txdata46,,rxdata10,
,txdata8,,vccfwdio,,vccfwdio,,txdata51,,txdata54
txdata7,,vccio,,vccio,,vccfwdio,,txdata52,
,txdata9,,vccio,,vccio,,vccio,,txdata55
txdata6,,vccio,,vccio,,vccio,,txdata56,
,txdata10,,vccio,,vccio,,vccio,,txdata57
txdata5,,vccio,,vccio,,vccio,,txdata58,
,txdata11,,vccio,,vccio,,vccio,,txdata59
txdata4,,vccio,,vccio,,vccio,,txdata60,
,txdata12,,vccio,,vccio,,vccio,,txdata61
txdata3,,vccio,,vccio,,vccio,,txdataRD1,
,txdata13,,vccio,,vccio,,vccio,,txdata62
txdata2,,vccio,,txdata19,,txdata24,,txdata31,
,txdata14,,txdata18,,txdata23,,txdata28,,txdata63
txdata1,,txdata15,,txdata20,,txdata25,,txdata30,
,txtrk,,txdata17,,txdata22,,txdata27,,txdataRD3
txdata0,,txdata16,,txdata21,,txckn,,txdata29,
,txvld,,txckRD,,txvldRD,,txdata26,,txckp
txdataRD0,,txcksbRD,,txcksb,,txdatasb,,txdatasbRD,
