,vss,,vss,,vccio,,vccio,,vccio,,vccio,,vss,,vss
vss,,vss,,vccio,,vccio,,vccio,,vccio,,vss,,vss,
,vss,,rxcksbRD,,rxcksb,,vss,,rxdatasb,,rxdatasbRD,,vss,,vss
vss,,txdata,,txdata,,vss,,vss,,txdata,,txdata,,vss,
,rxdata54,,rxdata50,,rxdata35,,vss,,rxdata29,,rxdata14,,rxdata11,,rxdataRD0
vss,,rxdata52,,rxdata49,,rxdata34,,rxdataRD1,,rxdata28,,rxdata13,,rxdata9,
,rxdata55,,rxdata51,,rxdata36,,rxdataRD2,,rxdata30,,rxdata15,,rxdata10,,vss
rxdataRD3,,rxdata53,,rxdata48,,rxdata33,,vss,,rxdata27,,rxdata12,,rxdata8,
,rxdata61,,vss,,rxdata37,,vss,,rxdata31,,rxdata16,,vss,,rxdata0
rxdata63,,rxdata56,,rxdata47,,rxdata32,,rxckRD,,rxdata26,,rxdata17,,rxdata2,
,rxdata60,,rxdata46,,vss,,rxvldRD,,rxdata25,,vss,,rxdata7,,vss
vss,,rxdata57,,rxdata43,,rxdata38,,rxckn,,rxdata23,,rxdata18,,rxdata3,
,rxdata59,,rxdata45,,rxdata40,,rxvld,,vss,,rxdata20,,rxdata6,,rxdata1
rxdata62,,rxdata58,,rxdata42,,rxdata39,,rxckp,,rxdata22,,rxdata19,,rxdata4,
,vss,,rxdata44,,rxdata41,,rxtrk,,rxdata24,,rxdata21,,rxdata5,,vss
vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio,,vccfwdio,
,vccio,,vccio,,vccio,,vccio,,vccio,,vccio,,vccio,,vccio
vss,,txdata5,,txdata21,,txdata24,,txtrk,,txdata41,,txdata44,,vss,
,txdata4,,txdata19,,txdata22,,txckp,,txdata39,,txdata42,,txdata58,,txdata62
txdata1,,txdata6,,txdata20,,vss,,txvld,,txdata40,,txdata45,,txdata59,
,txdata3,,txdata18,,txdata23,,txckn,,txdata38,,txdata43,,txdata57,,vss
vss,,txdata,,vss,,txdata25,,txvldRD,,vss,,txdata46,,txdata60,
,txdata2,,txdata17,,txdata26,,txckRD,,txdata32,,txdata47,,txdata56,,txdata63
txdata0,,vss,,txdata16,,txdata31,,vss,,txdata37,,vss,,txdata61,
,txdata8,,txdata12,,txdata27,,vss,,txdata33,,txdata48,,txdata53,,txdataRD3
vss,,txdata10,,txdata15,,txdata30,,txdataRD2,,txdata36,,txdata51,,txdata55,
,txdata9,,txdata13,,txdata28,,txdataRD1,,txdata34,,txdata49,,txdata52,,vss
txdataRD0,,txdata11,,txdata14,,txdata29,,vss,,txdata35,,txdata50,,txdata54,
,vccio,,vccio,,vccio,,vccio,,vccio,,vccio,,vccio,,vccio
vccio,,vccio,,vccio,,vccio,,vccio,,vccio,,vccio,,vccio,
